run_id,phase,reading_index,timestamp_ms,value,expected_state,detected_state,policy_reason,json_event_emitted,event_id,rgb_observation,buzzer_observation,correct,notes
run_01,ambient,1,,20597,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,ambient,2,,20597,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,ambient,3,,20629,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,ambient,4,,20581,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,ambient,5,,20597,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,ambient,6,,20581,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,ambient,7,,20581,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,ambient,8,,20613,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,ambient,9,,20677,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,ambient,10,,20629,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,ambient,11,,20613,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,ambient,12,,20613,normal,normal,normal,false,,green,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,covered,1,15547,3440,low_light,low_light,entered_anomaly,true,1,red,short tone,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,covered,2,,4161,low_light,low_light,suppressed_same_anomaly,false,,red,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,covered,3,,4177,low_light,low_light,suppressed_same_anomaly,false,,red,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,covered,4,,4177,low_light,low_light,suppressed_same_anomaly,false,,red,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,covered,5,,4129,low_light,low_light,suppressed_same_anomaly,false,,red,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,covered,6,,4080,low_light,low_light,suppressed_same_anomaly,false,,red,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,covered,7,,4113,low_light,low_light,suppressed_same_anomaly,false,,red,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,covered,8,,4080,low_light,low_light,suppressed_same_anomaly,false,,red,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
run_01,covered,9,,4080,low_light,low_light,suppressed_same_anomaly,false,,red,off,true,Phase-level physical observation supplied manually by the operator; event association follows an immediately subsequent JSON line.
